title,category,description,required_skills,salary,difficulty
Backend Developer,Software Engineering,"Design and maintain server-side logic, databases, and APIs. Ensure high performance and responsiveness.","Python, SQL, Django, Flask, REST APIs, PostgreSQL, MongoDB, Redis, Docker, AWS, Linux, Git, CI/CD",120000,Advanced
Full Stack Developer,Software Engineering,"Build complete web applications including frontend, backend, and database integration.","JavaScript, Python, React, Vue, Node.js, Express, Django, SQL, NoSQL, REST APIs, GraphQL, Docker, AWS, Git, HTML, CSS",135000,Advanced
Frontend Developer,Software Engineering,"Build responsive, interactive user interfaces with modern frameworks and design principles.","JavaScript, HTML, CSS, React, Vue, Angular, TypeScript, REST APIs, GraphQL, Webpack, Babel, Responsive Design, Git, UI/UX",115000,Intermediate
Python Developer,Software Engineering,"Write efficient Python code for web applications, data processing, and automation.","Python, Django, Flask, FastAPI, SQL, PostgreSQL, REST APIs, Docker, AWS, Git, Pandas, NumPy, CI/CD, Linux, Redis",125000,Advanced
Software Engineer,Software Engineering,"Design, develop, and maintain software applications. Collaborate with cross-functional teams to deliver high-quality solutions.","JavaScript, Python, Java, C++, SQL, Git, Docker, AWS, REST APIs, Agile, Scrum, Problem Solving, Data Structures, Algorithms, System Design, Unit Testing, CI/CD",130000,Advanced
Data Analyst,Data Science,"Collect, process, and analyze data to support business decisions and product development.","Python, SQL, Excel, Pandas, NumPy, Tableau, Power BI, Data Visualization, Statistical Analysis, SQL Queries, R, ETL, Data Cleaning",110000,Intermediate
DevOps Engineer,Software Engineering,"Automate deployment, manage infrastructure, and ensure system reliability and scalability.","AWS, Docker, Kubernetes, Linux, Bash, Python, Terraform, Ansible, CI/CD, Git, Prometheus, Grafana, NGINX, Cloud Computing",140000,Advanced
Machine Learning Engineer,Data Science,"Build, train, and deploy machine learning models for predictive analytics and AI applications.","Python, Scikit-learn, TensorFlow, PyTorch, Pandas, NumPy, SQL, MLOps, Docker, AWS, Git, Statistics, Model Deployment",145000,Advanced
Data Scientist,Data Science,"Extract insights from large datasets using advanced statistics and machine learning.","Python, R, SQL, Pandas, NumPy, Scikit-learn, Tableau, Data Visualization, Statistical Modeling, Deep Learning, Feature Engineering",150000,Advanced
Cloud Engineer,Software Engineering,"Design and manage cloud infrastructure, ensuring optimal performance and cost efficiency.","AWS, Azure, GCP, Docker, Kubernetes, Terraform, Python, Linux, Bash, CI/CD, Networking, Security, Cloud Architecture",135000,Advanced
Mobile Developer,Software Engineering,"Develop cross-platform or native mobile applications with excellent user experience.","Kotlin, Swift, React Native, Flutter, JavaScript, Android, iOS, REST APIs, Firebase, Git, Mobile UI/UX, App Deployment",125000,Intermediate
QA Engineer,Software Engineering,"Design and implement test strategies, automate testing, and ensure product quality.","Python, Selenium, JUnit, TestNG, Cucumber, API Testing, SQL, Jenkins, Git, Docker, Automation, Performance Testing",115000,Intermediate
Solutions Architect,Software Engineering,"Design and oversee system architecture, ensuring scalability, security, and maintainability.","Python, Java, AWS, Docker, Kubernetes, Microservices, REST APIs, SQL, NoSQL, Redis, Architecture Patterns, Cloud",140000,Advanced
Security Engineer,Software Engineering,"Protect systems and data through security assessments, penetration testing, and monitoring.","Python, Bash, Linux, Network Security, Penetration Testing, OWASP, Security Auditing, Docker, AWS, SIEM, Encryption, Firewalls",130000,Advanced
Database Administrator,Software Engineering,"Manage database performance, backup, recovery, and security for production environments.","SQL, PostgreSQL, MySQL, MongoDB, Oracle, Python, Bash, Performance Tuning, Database Design, Backup Strategies, Replication, Sharding",120000,Intermediate
Blockchain Developer,Software Engineering,"Build decentralized applications and smart contracts on blockchain platforms.","Solidity, Python, JavaScript, Blockchain, Smart Contracts, Web3, ETH, Hyperledger, REST APIs, Git, Cryptography, Docker",140000,Advanced
Rust Developer,Software Engineering,"Build high-performance systems and applications using Rust programming language.","Rust, C, C++, Python, Linux, Systems Programming, WebAssembly, Docker, Kubernetes, Networking, Performance Optimization, Concurrency",145000,Advanced
Go Developer,Software Engineering,"Build efficient, concurrent, and scalable systems using Go programming language.","Go, Python, Docker, Kubernetes, AWS, REST APIs, Microservices, Linux, Concurrency, Distributed Systems, Database, Cloud",135000,Advanced
Java Developer,Software Engineering,"Build enterprise applications using Java and related technologies.","Java, Spring Boot, Hibernate, SQL, PostgreSQL, Maven, Docker, AWS, REST APIs, Microservices, Linux, Git",125000,Advanced
Ruby on Rails Developer,Software Engineering,"Build web applications using Ruby on Rails framework.","Ruby, Rails, SQL, PostgreSQL, JavaScript, REST APIs, Docker, AWS, Git, Linux, TDD, Agile",120000,Intermediate
PHP Developer,Software Engineering,"Build web applications using PHP and popular frameworks.","PHP, Laravel, Symfony, MySQL, JavaScript, CSS, HTML, REST APIs, Docker, AWS, Git, Linux",115000,Intermediate
React Native Developer,Software Engineering,"Build cross-platform mobile applications using React Native.","JavaScript, React Native, React, Redux, iOS, Android, REST APIs, Firebase, Git, ES6, TypeScript",120000,Intermediate
Flutter Developer,Software Engineering,"Build natively compiled mobile applications using Flutter.","Dart, Flutter, iOS, Android, REST APIs, Firebase, Git, SQLite, Provider, Bloc",125000,Intermediate
AI Engineer,Data Science,"Design, develop, and deploy AI solutions for various business problems.","Python, Scikit-learn, TensorFlow, PyTorch, Pandas, NumPy, SQL, MLOps, Docker, AWS, Git, Deep Learning, NLP",145000,Advanced
NLP Engineer,Data Science,"Develop natural language processing solutions for text analysis, chatbots, and language models.","Python, NLP, NLTK, spaCy, Transformers, Scikit-learn, Pandas, NumPy, SQL, Docker, AWS, Git, Deep Learning",145000,Advanced
Computer Vision Engineer,Data Science,"Build systems that process and analyze visual data for recognition and detection.","Python, OpenCV, TensorFlow, PyTorch, Pandas, NumPy, Computer Vision, Image Processing, Deep Learning, MLOps, Docker, AWS",145000,Advanced
Site Reliability Engineer,Software Engineering,"Ensure system reliability, availability, and performance through automation and monitoring.","Python, Linux, Docker, Kubernetes, AWS, GCP, Prometheus, Grafana, CI/CD, Automation, Systems Engineering, Networking",140000,Advanced
Game Developer,Software Engineering,"Design and develop video games for various platforms.","C++, C#, Unity, Unreal Engine, Python, Game Design, 3D Graphics, Physics, Animation, Debugging, Profiling, Visual Studio",120000,Intermediate
Embedded Systems Engineer,Software Engineering,"Develop software for embedded systems and IoT devices.","C, C++, Python, Embedded Systems, IoT, Linux, RTOS, Microcontrollers, Sensor Integration, Hardware Design, CAN Bus, Serial Communication",125000,Advanced
